42947	台中市	神冈区	八德路	单 199号以下
42943	台中市	神冈区	八德路	单 201号以上
42947	台中市	神冈区	八德路	双 238号以下
42943	台中市	神冈区	八德路	双 240号以上
42943	台中市	神冈区	八德路九如巷	　  69号
42948	台中市	神冈区	八德路九如巷	　 369号
42954	台中市	神冈区	三民东街	全
42951	台中市	神冈区	三民南路	全
42955	台中市	神冈区	三民路	单 263号以下
42954	台中市	神冈区	三民路	单 265号以上
42955	台中市	神冈区	三民路	双 150号以下
42951	台中市	神冈区	三民路	　 152巷全
42955	台中市	神冈区	三民路	双 154号至 200号
42954	台中市	神冈区	三民路	双 202号至 640号
42952	台中市	神冈区	三民路	　 642巷全
42954	台中市	神冈区	三民路	双 644号以上
42944	台中市	神冈区	三和路	全
42946	台中市	神冈区	三社东路	全
42944	台中市	神冈区	三社路	全
42947	台中市	神冈区	大圳路	连  26之  11号以下
42948	台中市	神冈区	大圳路	连  27号至  53号
42952	台中市	神冈区	大圳路	连  55号至  88号
42954	台中市	神冈区	大圳路	连  90号至 220号
42949	台中市	神冈区	大明路	单  97号以下
42942	台中市	神冈区	大明路	单  99号至 179号
42949	台中市	神冈区	大明路	　 181巷全
42942	台中市	神冈区	大明路	单 183号至 189号
42949	台中市	神冈区	大明路	　 191巷全
42942	台中市	神冈区	大明路	单 193号以上
42949	台中市	神冈区	大明路	双  88号以下
42942	台中市	神冈区	大明路	　  90巷全
42942	台中市	神冈区	大明路	双 100号以上
42946	台中市	神冈区	大社街	全
42941	台中市	神冈区	大洲路	全
42946	台中市	神冈区	大富路	单 223号以下
42944	台中市	神冈区	大富路	单 225号以上
42946	台中市	神冈区	大富路	双 154号以下
42944	台中市	神冈区	大富路	双 156号以上
42941	台中市	神冈区	大里街	全
42941	台中市	神冈区	大汉街	全
42946	台中市	神冈区	大丰北街	全
42946	台中市	神冈区	大丰路	全
42950	台中市	神冈区	中山路	单 239号以下
42950	台中市	神冈区	中山路	单 241巷至 609号
42943	台中市	神冈区	中山路	单 611号至 665号
42950	台中市	神冈区	中山路	　 667巷全
42943	台中市	神冈区	中山路	单 669号至 891号
42955	台中市	神冈区	中山路	单 893巷至1191号
42954	台中市	神冈区	中山路	单1221号至1351号
42955	台中市	神冈区	中山路	单1353号至1387号
42946	台中市	神冈区	中山路	双 136之   2号以下
42947	台中市	神冈区	中山路	双 136之   5号至 548号
42943	台中市	神冈区	中山路	双 550号至 998号
42952	台中市	神冈区	中山路	双1000号至1128号
42954	台中市	神冈区	中山路	双1130号至1458号
42955	台中市	神冈区	中山路	双1460号至1668之   3号
42951	台中市	神冈区	中山路	　1720巷全
42954	台中市	神冈区	中平路	连  99号以下
42953	台中市	神冈区	中平路	连 100号以上
42955	台中市	神冈区	中正南街	全
42955	台中市	神冈区	中正路	全
42954	台中市	神冈区	中车路	连   4号以下
42952	台中市	神冈区	中车路	连   5号至  86号
42946	台中市	神冈区	中兴路	全
42945	台中市	神冈区	五权路	全
42952	台中市	神冈区	六张路	连  15号以下
42952	台中市	神冈区	六张路	连  16号至  26号
42954	台中市	神冈区	六张路	连  28号至  42号
42947	台中市	神冈区	文化街	单  61号以下
42943	台中市	神冈区	文化街	单  63号至  65号
42947	台中市	神冈区	文化街	双  58号以下
42943	台中市	神冈区	文化街	双  60号至  78号
42943	台中市	神冈区	文昌街	单全
42943	台中市	神冈区	文昌街	双 128号以下
